City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
141,Lucea,JM,88.86,clear sky,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
142,Svetlyy,RU,55.45,few clouds,54.675,20.1347,"Gostinitsa-Kafe, Alena"
143,Vardo,NO,46.38,light intensity shower rain,70.3705,31.1107,Vardø Hotel AS
144,Abnub,EG,91.76,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
145,Kruisfontein,ZA,61.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
146,Galesong,ID,77.02,broken clouds,-5.3166,119.3661,Sapriadi Appy
147,Saint-Philippe,RE,71.19,light rain,-21.3585,55.7679,Le four à pain
148,San Quintin,MX,67.64,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
150,Benguela,AO,75.6,broken clouds,-12.5763,13.4055,Hotel Praia Morena
151,Upernavik,GL,34.34,broken clouds,72.7868,-56.1549,Café de Upernavik
152,Coahuayana,MX,76.23,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
153,Bagdarin,RU,34.9,broken clouds,54.4333,113.6,Gostevoy Dom Terem
154,Erenhot,CN,57.45,clear sky,43.6475,111.9767,Erenhot Rurouni Youth Hostel
155,San Patricio,US,89.83,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
156,Masterton,NZ,48.88,overcast clouds,-40.9597,175.6575,Copthorne Hotel & Resort Solway Park Wairarapa
158,Clarence Town,AU,61.95,clear sky,-32.5833,151.7833,River Downs Cottage
159,Iroquois Falls,CA,48.36,moderate rain,48.7669,-80.6831,Auberge MacDonald Guest Inn
160,Along,IN,74.21,broken clouds,28.1667,94.7667,Hotel West
161,Beaverton,US,54.41,clear sky,45.4871,-122.8037,Best Western Portland West Beaverton
162,Moron,AR,73.94,overcast clouds,-34.6534,-58.6198,Hotel Morón
163,Saint-Georges,GD,85.89,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
164,Lata,PT,86.92,broken clouds,40.1629,-8.3327,Casa Maquia
165,Pacifica,US,60.48,mist,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
166,Pravia,ES,68.68,scattered clouds,43.4906,-6.1508,Antiguo Casino Hotel
167,Tiksi,RU,35.44,overcast clouds,71.6872,128.8694,Arktika
168,Hasaki,JP,77.4,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
169,Tual,ID,80.73,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
170,Clyde River,CA,36.72,overcast clouds,70.4692,-68.5914,Qamaq Hotel
171,Impfondo,CG,73.78,light rain,1.6381,18.0667,Auberge La Place de Jules
172,Llanes,ES,68.59,overcast clouds,43.4198,-4.7549,Hotel La Paz
173,Les Cayes,HT,88.83,clear sky,18.2,-73.75,Villa Orphee
174,Mogadishu,SO,77.18,scattered clouds,2.0371,45.3438,Hotel Juba
175,Takaungu,KE,76.64,few clouds,-3.6837,39.8566,Takaungu House
176,Osakarovka,KZ,50.29,clear sky,50.565,72.5692,Motel' Osakarovka
177,Praxedis Guerrero,MX,76.46,clear sky,31.3667,-106.0167,Congregación placitas de Otero
178,Kavaratti,IN,80.82,overcast clouds,10.5669,72.642,Green leaf
179,Kutum,SD,76.41,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
180,Lagoa,PT,73.33,clear sky,39.05,-27.9833,Casa Das Faias
181,Goderich,CA,72.91,overcast clouds,43.7501,-81.7165,Harmony Inn
182,Miri,MY,80.31,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
183,Abu Dhabi,AE,95.11,few clouds,24.4667,54.3667,Beach Rotana
184,Kalmunai,LK,81.46,broken clouds,7.4167,81.8167,VS Villa
186,Matagami,CA,55.08,overcast clouds,49.7502,-77.6328,Motel Le Caribou
187,Baghdad,IQ,98.51,clear sky,33.3406,44.4009,Baghdad Hotel
188,Tuktoyaktuk,CA,39.63,overcast clouds,69.4541,-133.0374,End of The Road Ltd.
189,Covington,US,79.25,clear sky,39.0837,-84.5086,Cincinnati Marriott at RiverCenter
190,New Norfolk,AU,48.7,light rain,-42.7826,147.0587,The Shingles Riverside Cottages
191,Acarau,BR,88.41,scattered clouds,-2.8856,-40.12,castelo pizzaria
192,Bulgan,MN,40.66,broken clouds,48.8125,103.5347,Unitel Булган салбар
193,Khash,IR,82.26,clear sky,28.2211,61.2158,خوابگاه آبجی محدثه
194,Tibiri,NE,82.15,overcast clouds,13.5627,7.0485,FADA GAO FA TIBIRI
195,Basco,PH,83.43,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
196,Cabatuan,PH,76.57,overcast clouds,10.8794,122.486,MVC Transient Room
197,Svetlogorsk,BY,59.59,overcast clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
198,Oberstdorf,DE,45.64,light rain,47.4,10.2833,Parkhotel Frank
199,Sakata,JP,73.2,overcast clouds,38.9167,139.855,Hotel Rich & Garden Sakata
200,Kodiak,US,54.91,few clouds,57.79,-152.4072,Best Western Kodiak Inn
201,Williams Lake,CA,40.05,broken clouds,52.1415,-122.1445,Stampeder Motel
202,Clonakilty,IE,61.81,broken clouds,51.6231,-8.8706,Inchydoney Island Lodge & Spa
203,Gat,IL,85.41,clear sky,31.61,34.7642,OlusHome
204,Skibbereen,IE,59.76,broken clouds,51.55,-9.2667,The West Cork Hotel
205,Raudeberg,NO,49.96,overcast clouds,61.9875,5.1352,Nordre Silda.
206,Cherskiy,RU,30.97,overcast clouds,68.75,161.3,Gostinitsa
207,Madoc,CA,67.96,overcast clouds,44.5084,-77.4745,Quality RV Services & Campground
208,Takoradi,GH,80.02,broken clouds,4.8845,-1.7554,Raybow International Hotel
209,Zalantun,CN,50.59,clear sky,48.0,122.7167,GreenTree Alliance Hulunbeier Zhalantun Railway Station Hotel
210,Padang,ID,77.18,light rain,-0.9492,100.3543,Mercure Padang
211,Neiafu,TO,75.88,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
212,Alagoinhas,BR,83.79,broken clouds,-12.1356,-38.4192,Alagoinhas Plaza Hotel
213,Pascagoula,US,84.33,clear sky,30.3658,-88.5561,Regency Inn
215,Marsa Matruh,EG,78.98,clear sky,31.3525,27.2453,Beau Site
216,Deputatskiy,RU,28.29,overcast clouds,69.3,139.9,Baza Otdykha
218,Necochea,AR,65.73,moderate rain,-38.5473,-58.7368,dyd -mar Hotel
219,Severo-Kurilsk,RU,49.35,few clouds,50.6789,156.125,Kak Doma
220,Jiutai,CN,59.2,clear sky,44.1525,125.8328,Jinhua Restaurant
222,Bilibino,RU,27.93,overcast clouds,68.0546,166.4372,Gostinitsa Severyanka
223,Palmares Do Sul,BR,67.98,clear sky,-30.2578,-50.5097,Hotel Campos Dourados.
224,Tay Ninh,VN,78.76,overcast clouds,11.3,106.1,Thanh Tuyền Hotel
225,Ahipara,NZ,46.89,clear sky,-35.1667,173.1667,Ahipara Holiday Park
226,Moanda,GA,81.63,overcast clouds,-1.5575,13.2178,Heliconia Stadium Moanda
228,Tarko-Sale,RU,51.08,overcast clouds,64.9225,77.785,Yubileynaya
229,Portland,US,55.36,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
230,Lucapa,AO,82.71,overcast clouds,-8.4192,20.7447,Lírio Mendes
231,Stonewall,CA,56.79,overcast clouds,50.1344,-97.3268,Rockwood Motor Inn & Motel
232,Zhigansk,RU,30.52,overcast clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
233,Borovoy,RU,49.28,clear sky,55.4333,86.0833,Tsimus
234,Tinglev,DK,58.78,overcast clouds,54.931,9.2524,Uge Lystfiskeri og Camping
236,Lorengau,PG,81.41,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
239,Matay,EG,90.66,clear sky,28.419,30.7792,Nag Aespen
240,Middelburg,ZA,79.59,clear sky,-25.7751,29.4648,Oregon Place Guest House
241,Tura,IN,75.22,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
242,North Branch,US,70.12,broken clouds,45.5113,-92.9802,AmericInn by Wyndham North Branch
243,Tuscaloosa,US,79.21,scattered clouds,33.2098,-87.5692,Hampton Inn Tuscaloosa-University
244,Cayenne,GF,89.64,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
245,Wajima,JP,77.22,overcast clouds,37.4,136.9,Wajiima Onsen Yashio
246,Novyy Oskol,RU,60.31,overcast clouds,50.7631,37.8691,Hotel Chistopol
247,Altagracia De Orituco,VE,86.97,scattered clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
248,Axim,GH,81.36,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
249,Touros,BR,85.08,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
251,Idaho Falls,US,53.38,clear sky,43.4666,-112.0341,Hilton Garden Inn Idaho Falls
252,Huilong,CN,76.93,clear sky,31.8111,121.655,Hilton Garden Inn Qidong
253,Amahai,ID,75.45,light rain,-3.3333,128.9167,HOTEL ISABELA
254,Puerto Escondido,MX,76.03,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
255,Yunyang,CN,79.59,overcast clouds,33.4474,112.7142,Post & Telecom Hotel
256,Honningsvag,NO,46.15,light rain,70.9821,25.9704,Nordkapp Vandrerhjem
257,Esperance,AU,57.18,broken clouds,-33.8667,121.9,Hospitality Esperance
258,Chuy,UY,65.84,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
259,Termiz,UZ,78.89,haze,37.2242,67.2783,Hotel Sharq
260,Rio Grande,BR,67.95,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
261,Mount Isa,AU,74.97,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
262,Zaragoza,ES,77.86,clear sky,41.6561,-0.8773,Hotel Goya
263,Isangel,VU,72.82,scattered clouds,-19.55,169.2667,Tanna Lodge
264,Behbahan,IR,93.87,clear sky,30.5959,50.2417,فروشگاه ابوعلی
265,Pudozh,RU,49.5,overcast clouds,61.8099,36.5345,Guest-House na Transportnoy
266,Dolores,AR,66.6,overcast clouds,-36.3132,-57.6792,Apart Hotel - Arianos
267,Rabo De Peixe,PT,76.51,few clouds,37.8,-25.5833,Quinta das Giestas
268,Ilulissat,GL,44.62,broken clouds,69.2167,-51.1,Hotel Arctic
269,Casma,CL,46.0,overcast clouds,-41.0082,-73.1244,Hospedaje Casma
270,Haimen,CN,79.16,broken clouds,23.1935,116.6142,Shantou Chaoyang Donghui Hotel
272,Nagaur,IN,84.6,clear sky,27.2,73.7333,Ranvas Nagaur
273,Khandyga,RU,41.81,overcast clouds,62.6667,135.6,Apel'sin
274,Churapcha,RU,39.92,overcast clouds,62.0025,132.4325,"""Tusku"""
275,Port Lincoln,AU,54.52,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
276,Codrington,AU,51.01,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
277,Yinchuan,CN,76.1,overcast clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
278,Port Hedland,AU,68.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
279,Anori,BR,98.85,overcast clouds,-3.7728,-61.6442,Novo Hotel 5 Irmãos
280,Agucadoura,PT,84.31,overcast clouds,41.4318,-8.7804,Varzinn Hotel
281,Fairbanks,US,46.92,clear sky,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
282,Chumikan,RU,50.56,overcast clouds,54.7183,135.315,Fortuna
283,Turukhansk,RU,39.51,overcast clouds,65.8167,87.9833,"ООО ""Туруханская пушнина"""
284,Vanimo,PG,77.2,few clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
285,Shingu,JP,79.54,overcast clouds,33.7333,135.9833,Shingu UI Hotel
287,Geraldton,AU,54.01,clear sky,-28.7667,114.6,Broadwater Mariner Resort
288,Erzin,TR,82.18,clear sky,36.9559,36.2,Artemis Otel
289,Jarville-La-Malgrange,FR,57.52,broken clouds,48.6691,6.2064,Hôtel Mercure Nancy Centre Place Stanislas
290,Guerrero Negro,MX,69.48,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
291,Waspan,NI,82.27,overcast clouds,14.7419,-83.9717,Hostal casa de la rose
292,Luanshya,ZM,86.38,broken clouds,-13.1367,28.4166,CHOLWA GUEST HOUSE
294,Berlevag,NO,46.35,overcast clouds,70.8578,29.0864,Kvitbrakka
295,Finschhafen,PG,79.41,few clouds,-6.6024,147.8681,Oasis Gagidu Ltd
296,Yeppoon,AU,60.58,clear sky,-23.1333,150.7333,Villa Mar Colina
297,Serebryansk,KZ,48.49,clear sky,49.6925,83.2892,"Gostinitsa ""Vodoley"""
298,Yambio,SS,77.38,light rain,4.5721,28.3955,Naivasha Hotel
300,Aransas Pass,US,89.98,scattered clouds,27.9095,-97.15,Microtel Inn & Suites by Wyndham Aransas Pass/Corpus Christi
301,Laramie,US,59.54,clear sky,41.3114,-105.5911,Fairfield Inn & Suites by Marriott Laramie
302,Nadvoitsy,RU,52.41,light rain,63.8667,34.3167,Sever Nadvoitsy
303,Iqaluit,CA,45.7,overcast clouds,63.7506,-68.5145,Frobisher Inn
304,Wonthaggi,AU,51.82,broken clouds,-38.6044,145.5913,Wonthaggi Caravans & Trailers
305,Khuldabad,IN,70.63,overcast clouds,20.05,75.1833,Capital O 29643 Etranger Resort
306,Khasan,RU,67.57,overcast clouds,42.4308,130.6434,Fangchuan Self-Driving Camp
308,Westerland,DE,57.94,scattered clouds,54.9079,8.3033,Dorint Strandresort & Spa Westerland / Sylt
309,Guiren,CN,68.85,clear sky,33.6697,118.1889,Suyuan Hotel
310,Shache,CN,72.72,overcast clouds,38.4167,77.2406,Delong Hotel
311,Kahului,US,74.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
312,Yenangyaung,MM,80.74,overcast clouds,20.4667,94.8833,Hotel Country
313,Akhisar,TR,95.9,clear sky,38.9185,27.8401,Seybils Otel
314,Berezovyy,RU,45.09,overcast clouds,51.6667,135.7,"Hotel ""Phoenix"""
316,Yabrud,SY,79.84,clear sky,33.9674,36.6574,صالة افراح الاندلس
317,Caraquet,CA,57.52,clear sky,47.7941,-64.9386,Gite Le Poirier
318,Mulege,MX,85.55,clear sky,26.8833,-111.9833,Casa Granada
320,Ihosy,MG,66.18,broken clouds,-22.4,46.1167,Tamana hôtel
321,Seguela,CI,77.99,overcast clouds,7.9611,-6.6731,Hotel le Carrefour
322,Haines Junction,CA,35.13,few clouds,60.7522,-137.5108,Parkside Inn
323,Roald,NO,53.76,broken clouds,62.5833,6.1333,Flem Cabins
324,Concordia,AR,70.79,overcast clouds,-31.393,-58.0209,Palmar Hotel Casino
325,Oeiras Do Para,BR,94.84,scattered clouds,-2.0031,-49.8544,Araticu Soft Hotel
326,Itupiranga,BR,93.52,overcast clouds,-5.1347,-49.3267,Hotel Panorama
327,Saint George,US,66.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
328,Half Moon Bay,US,60.66,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
329,Samarai,PG,81.64,broken clouds,-10.6167,150.6667,Nuli Sapi
330,Chernyshevskiy,RU,29.37,broken clouds,63.0128,112.4714,Chernyseyskiy
331,Katsuura,JP,78.96,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
332,Inuvik,CA,38.95,overcast clouds,68.3499,-133.7218,Nova Inn Inuvik
333,Ereymentau,KZ,50.4,clear sky,51.6199,73.1033,"Gostinitsa ""Dostyk"""
334,Marsh Harbour,BS,84.51,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
335,Aguimes,ES,83.03,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
336,Krasnyy Yar,RU,75.13,overcast clouds,46.5331,48.3456,Cottege near Ufa
337,Tucuman,AR,77.0,clear sky,-26.8241,-65.2226,Dallas Hotel Tucuman
338,Pahrump,US,73.94,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
339,Bolobo,CD,83.52,overcast clouds,-2.1667,16.2333,Hotel de Stephen
340,Yar-Sale,RU,51.22,overcast clouds,66.8333,70.8333,Yalemd
341,Qasigiannguit,GL,44.85,overcast clouds,68.8193,-51.1922,Almost HOME
